IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
Zavod Flota,Flota_Institute,http://www.culture.si/en/Flota_Institute,63717026,zasebna,Murska Sobota,"€ 198.368,00",,,,Dance Explorations Beyond Front@,2  ,2,V,2008,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 191.219,00",,,,Moving Borders With the Days of Poetry and Wine Medana Festival,2  ,40,V,2008,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Fundacija Brumen,Brumen_Foundation,http://www.culture.si/en/Brumen_Foundation,73713040,zasebna,Ljubljana,"€ 162.531,00",,,,First European Youth Poster Competition on a Social Topic,2  ,5,V,2008,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"oblikovanje, arhitektura in uporabne umetnosti","oblikovanje, arhitektura in uporabne umetnosti"
Slovensko mladinsko gledališče,Mladinsko_Theatre,http://www.culture.si/en/Mladinsko_Theatre,19061978,javna,Ljubljana,"€ 142.820,00",,,,Evropski kulturni ambasador 2008,7 ,2,V,2008,Kultura (2007-2013),Sklop 2 - enoletna podpora,"Enoletna podpora za redno delovanje organizacij - Ambasadorji, Zagovorniške mreže, Platforme za strukturirani dialog",Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
"Zavod K6/4, Kiberpipa",Cyberpipe,http://www.culture.si/en/Cyberpipe,82139288,zasebna,Ljubljana,"€ 101.408,00",,,,HAIP - Hack-Act-Interact-Progress,2  ,6,V,2008,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),intermedijske umetnosti in nove tehnologije,intermedijske umetnosti in nove tehnologije
QOLLECTIVE,,,,zasebna,Ljubljana,"€ 60.000,00",,,,Palčica / Thumbellina Unplugged,19,8,V,2008,MEDIA (2007-2013),Razvoj projektov - samostojni projekti,Podpora za neodvisne AV producente pri razvoju samostojnega filmskega projekta,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
"CANKARJEV DOM Kulturni in kongresni center, Ljubljana","Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 59.522,00","€ 100.224,00",IT,,Avtomatična distribucija v 2008,23,9,V,2008,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Založba Sanje,Sanje ('Dreams') Publishing House,http://www.culture.si/en/Sanje_%28%27Dreams%27%29_Publishing_House,21969353,zasebna,Ljubljana,"€ 56.603,00",,,,Zbirka Sanje - 2.rok (7 knjig),4  ,41,V,2008,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Casablanca d.o.o.,Casablanca_Productions,http://www.culture.si/en/Casablanca_Productions,41501527,zasebna,Ljubljana,"€ 51.000,00",,,,Leteča brata Rusjan/The Flying Rusjan Brothers,21,8,V,2008,MEDIA (2007-2013),Razvoj projektov - TV predvajanje,"Podpora za neodvisne AV producente pri produkciji filmov, pri katerih sodelujejo vsaj tri televizijske hiše iz več držav članic Evropske unije",MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
Art kino mreža Slovenije,Art Cinema Network,http://www.culture.si/en/Art_Cinema_Network,24146170,zasebna,Slovenj Gradec,"€ 40.954,00","€ 143.888,25",BE,,Prikazovanje evropskih filmov v 2007,27,11,V,2008,MEDIA (2007-2013),Mreža Europa Cinemas,Europa Cinemas podpora za kinematografsko prikazovanje evropskih AV del ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,prikazovanje
"CANKARJEV DOM Kulturni in kongresni center, Ljubljana","Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 35.000,00","€ 134.450,00",UK,,"19. LIFFE - Ljubljanski mednarodni filmski festival / Ljubljana International Film
  Festival
",25,10,V,2008,MEDIA (2007-2013),Festivali - enoletna podpora,Podpora za organizacijo AV festivalov - enoletna podpora,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,festivali
Bela film d.o.o.,Bela_Film_Ltd,http://www.culture.si/en/Bela_Film_Ltd,66860954,zasebna,Ljubljana,"€ 31.447,00","€ 150.000,00",BE,,Gram ljubezni/Gram of Love,19,8,V,2008,MEDIA (2007-2013),Razvoj projektov - samostojni projekti,Podpora za neodvisne AV producente pri razvoju samostojnega filmskega projekta,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
BLITZ Film & video distribution,Blitz_Film_and_Video_Distribution,http://www.culture.si/en/Blitz_Film_and_Video_Distribution,88939065,zasebna,Ljubljana,"€ 29.999,00","€ 150.000,00",FR,,Avtomatična distribucija v 2008,23,9,V,2008,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Založba Modrijan,Modrijan Publishing House,http://www.culture.si/en/Modrijan_Publishing_House,83168788,zasebna,Ljubljana,"€ 26.622,83",,,,Zbirka Euroman (10 knjig),4  ,41,V,2008,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Založba Didakta,Didakta_Publishing_House,http://www.culture.si/en/Didakta_Publishing_House,86002082,zasebna,Radovljica,"€ 25.817,00",,,,Zbirka Gostosevci - 1.rok (8 knjig),4  ,41,V,2008,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
