IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
Forum Ljubljana,Forum_Ljubljana,http://www.culture.si/en/Forum_Ljubljana,54830125,zasebna,Ljubljana,"€ 30.000,00",,,,Inferno,19,8,V,2009,MEDIA (2007-2013),Razvoj projektov - samostojni projekti,Podpora za neodvisne AV producente pri razvoju samostojnega filmskega projekta,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,podpora za producente 
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 28.459,53",,,,Zbirka Beletrina (6 knjig),4  ,41,V,2009,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Založba Didakta,Didakta_Publishing_House,http://www.culture.si/en/Didakta_Publishing_House,86002082,zasebna,Radovljica,"€ 26.053,86",,,,Zbirka Gostosevci (6 knjig),4  ,41,V,2009,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
CINEMANIA GROUP,Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 20.896,00",,,,Avtomatična distribucija v 2009,23,9,V,2009,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Javni zavod Kinodvor,Kinodvor_Cinema,http://www.culture.si/en/Kinodvor_Cinema,12753173,javna,Ljubljana,"€ 15.000,00",,,,6. ANIMATEKA - Mednarodni festival animiranega filma / International Animated Film Festiva6,24,10,V,2009,MEDIA (2007-2013),Festivali - štiriletna podpora,Podpora za organizacijo AV festivalov - štrirletna partnerska pogodba (letni znesek podpore variira  glede na uspešnost festivala leto prej),MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,festivali
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 13.000,00",,,,OCEANWORLD 3D (FR),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 12.000,00",,,,DISCO ORMENE (DA),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 10.000,00",,,,LA VERITABLE HISTOIRE DU CHAT BOTT (FR),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Center za slovensko književnost,Centre_for_Slovenian_Literature,http://www.culture.si/en/Centre_for_Slovenian_Literature,49837478,zasebna,Ljubljana,"€ 9.661,00",,,,Zbirka Aleph (3 knjige),4  ,41,V,2009,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
"BLITZ FILM & VIDEO DISTRIBUTION, druzba za tgrovino, d.o.o.",Blitz_Film_and_Video_Distribution,http://www.culture.si/en/Blitz_Film_and_Video_Distribution,88939065,zasebna,Ljubljana,"€ 8.000,00","€ 180.015,00",IT,,SLUMDOG MILLIONAIRE (UK),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 8.000,00",,,,TURTLE: THE INCREDIBLE JOURNEY (UK),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CANKARJEV DOM Kulturni in kongresni center, Ljubljana","Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 6.632,00",,,,Avtomatična distribucija v 2009,23,9,V,2009,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 6.259,00",,,,Avtomatična distribucija v 2009,23,9,V,2009,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
BLITZ FILM & VIDEO DISTRIBUTION,Blitz_Film_and_Video_Distribution,http://www.culture.si/en/Blitz_Film_and_Video_Distribution,88939065,zasebna,Ljubljana,"€ 4.000,00",,,,GENOVA (IT),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 4.000,00",,,,SVETAT E GOLYAM I SPASENIE DEBNE OTVSYAKADE (BG),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
SLOVENSKA KINOTEKA,Slovenian_Cinematheque,http://www.culture.si/en/Slovenian_Cinematheque,45044309,javna,Ljubljana,"€ 4.000,00",,,,IMPORT-EXPORT (AT),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 3.500,00",,,,LAT DEN RATTE KOMMA IN (SU),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 3.000,00",,,,LA TETA ASUSTADA (ES),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 3.000,00",,,,NORD (NO),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 3.000,00",,,,SZTUCZKI (PL),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.500,00",,,,DAS WEISSE BAND (AT),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,HOME (CH),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,NUNTAMUTA (RO),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,REVANCHE (AT),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,NOS ENFANTS NOUS ACCUSERONT (FR),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,RICKY (FR),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,ALLE ANDEREN (DE),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,ANTICHRIST (DA),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,FISH TANK (UK),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,SOUL KITCHEN (DE),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,UN PROPHETE (aka LE PROPHETE) (FR),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.000,00",,,,KATALIN VARGA (RO),22,9,V,2009,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Glasbeno društvo Slowind,Slowind_Quintet,http://www.culture.si/en/Slowind_Quintet,84748478,zasebna,Ljubljana,,"€ 200.000,00",FR,,"Le Lieu, Laboratorie Instrumental Europeen",2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Gledališče Glej,Glej_Theatre,http://www.culture.si/en/Glej_Theatre,38017423,zasebna,Ljubljana,,"€ 124.857,00",CZ,,DNA - Developement of New Art,2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Lutkovno gledališče Ljubljana,Ljubljana_Puppet_Theatre,http://www.culture.si/en/Ljubljana_Puppet_Theatre,87016362,javna,Ljubljana,,"€ 2.292.000,00",IT,,Small Size Big Citizens - widening of the european network for the diffusion of the performing arts for early years ,1  ,2,P,2009,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Mini teater,Mini_Theatre,http://www.culture.si/en/Mini_Theatre,43211127,zasebna,Ljubljana,,"€ 200.000,00",UK,,Baby Lion,3  ,2,P,2009,Kultura (2007-2013),Sklop 1.3.5,Podpora za projekte sodelovanja s tretjimi državami (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
RTV Slovenija,Radio-Television_Slovenia_(RTV_Slovenia),http://www.culture.si/en/Radio-Television_Slovenia_%28RTV_Slovenia%29,29865174,javna,Ljubljana,,"€ 200.000,00",FR,,An Orchestra for Europe - One Step Further,2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod Friderik I. Baraga,x,,31959431,zasebna,Novo mesto,,"€ 176.640,00",IT,,The Baroque Music as unifying Value Between the Old and New Europe,2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod Muzeum,Muzeum_Institute,http://www.culture.si/en/Muzeum_Institute,39090043,zasebna,Ljubljana,,"€ 200.000,00",IT,,Focus on art and science in the performing arts: European Contemporary Production ,2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod NEC - Notranjski ekološki center,x,,34654518,zasebna,Cerknica,,"€ 50.000,00",SI,,H.O.M.E. - House for Open Mobility Exchange (pilotni projekt mobilnosti),10  ,2,P,2009,Kultura (2007-2013),Pilotni razpisi,"Posebni (enkratni) tematski razpisi: ""Mobilnost"" (2009)",Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zveza tolminskih mladinskih društev,Tolmin_Union_of_Youth_Associations,http://www.culture.si/en/Tolmin_Union_of_Youth_Associations,91251419,zasebna,Tolmin,,"€ 116.280,00",AT,,Fair Music – The First Intitiative for Fairness and justice in the Music Business,2  ,2,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
NUK,National_and_University_Library,http://www.culture.si/en/National_and_University_Library,79713513,javna,Ljubljana,,"€ 1.815.226,00",AT,,eBooks on Demand – A European Library Network,1  ,40,P,2009,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Tehniški muzej Slovenije,Technical_Museum_of_Slovenia,http://www.culture.si/en/Technical_Museum_of_Slovenia,96599944,javna,Bistra pri Vrhniki,,"€ 200.000,00",SE,,A Taste of Europe,2  ,1,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Fit Media d.o.o,x,http://www.culture.si/en/Veronika_Award,89052790,zasebna,Celje,,"€ 155.000,00",IT,,Euro Home Movies Net,2  ,6,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),intermedijske umetnosti in nove tehnologije,intermedijske umetnosti in nove tehnologije
Kulturno umetniško društvo Opoka ,x,http://www.culture.si/en/MMM_Art_-_Medana_International_Fine_Arts_Workshop,30191378,zasebna,Dobrovo,,"€ 150.000,00",AT,,Klopfzeichchen/Colpi/Trkanje – Kunst&Begegenung in vergessener Landschaft,2  ,7,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Turizem Bohinj - Zavod za pospeševanje turizma,x,,84521147,javna,Bohinjska Bistrica,,"€ 115.000,00",BE,,Arts and Parks,2  ,7,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Kulturno društvo Čedermač,x,,86171887,zasebna,Bovec,,"€ 200.000,00",IT,,Comics Opera,2  ,,P,2009,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),--,--,--
Zavod za varstvo kulturne dediščine Slovenije,Institute_for_the_Protection_of_Cultural_Heritage_of_Slovenia,http://www.culture.si/en/Institute_for_the_Protection_of_Cultural_Heritage_of_Slovenia,45991413,javna,Ljubljana,"€ 2.140.000,00",,,,CEC - Cradles of European Culture (Zibelke evropske kulture),1  ,1,V,2010,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Moderna galerija,"Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova","http://www.culture.si/en/Moderna_galerija_/_Museum_of_Modern_Art,_Ljubljana_plus_Museum_of_Contemporary_Art_Metelkova",77185161,javna,Ljubljana,"€ 200.000,00",,,,1957 - 1986. Art from the Decline of Modernism to the Rise of Globalisation by L'Internationale,2  ,3,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),vizualne umetnosti,vizualne umetnosti
Društvo slovenskih pisateljev,Slovene_Writers'_Association,http://www.culture.si/en/Slovene_Writers%E2%80%99_Association,52715850,zasebna,Ljubljana,"€ 199.117,00",,,,Read Me Live - Promotion of Reading Culture Through Live Literature,2  ,40,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Študentska založba,Študentska_založba_Publishing_House,http://www.culture.si/en/%C5%A0tudentska_zalo%C5%BEba_Publishing_House,12683485,zasebna,Ljubljana,"€ 198.589,50",,,,Poetry Reaching Out ,2  ,40,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
Zavod Exodos,Exodos_Institute,http://www.culture.si/en/Exodos_Institute,91717086,zasebna,Ljubljana,"€ 99.000,00",,,,Festival Exodos,2 ,2,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Društvo NSK,NSK Information Centre,http://www.culture.si/en/NSK_Information_Centre,64305295,zasebna,Ljubljana,"€ 90.905,00",,,,FIRST NSK CITIZENS CONGRESS BERLIN 2010 ,2  ,7,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
"PEKINPAH - Društvo za kulturno, založniško in producentsko dejavnost",Pekinpah_Association,http://www.culture.si/en/Pekinpah_Association,47262362,zasebna,Ljubljana,"€ 74.872,00",,,,SPIDER - International Artistic Project,2  ,7,V,2010,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Založba Sanje,Sanje ('Dreams') Publishing House,http://www.culture.si/en/Sanje_%28%27Dreams%27%29_Publishing_House,21969353,zasebna,Ljubljana,"€ 59.179,57",,,,Prevodni projekt - 7 knjig,4  ,41,V,2010,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
Prikazovalci - člani združenja Europa Cinemas,x,,,javna,razni sedeži,"€ 52.500,00",,,,Prikazovanje evropskih filmov v 2009,27,11,V,2010,MEDIA (2007-2013),Mreža Europa Cinemas,Europa Cinemas podpora za kinematografsko prikazovanje evropskih AV del ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,prikazovanje
"CANKARJEV DOM Kulturni in kongresni center, Ljubljana","Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 51.266,00",,,,21. LIFFE - Ljubljanski mednarodni filmski festival / Ljubljana International Film Festival,24,10,V,2010,MEDIA (2007-2013),Festivali - štiriletna podpora,Podpora za organizacijo AV festivalov - štrirletna partnerska pogodba (letni znesek podpore variira  glede na uspešnost festivala leto prej),MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,festivali
